,title,price,link
183,"Daraz Like New Laptops - HP EliteBook 850 G2  , Core i7 4th generation, 8GB DDR3 Ram, 500GB Hard Drive, 15.6"" Led Display Intel HD Graphics","Rs. 39,999",//www.daraz.pk/products/daraz-like-new-laptops-hp-elitebook-850-g2-core-i7-4th-generation-8gb-ddr3-ram-500gb-hard-drive-156-led-display-intel-hd-graphics-i430235940.html
184,Daraz Like New Laptops - Lenovo N22/N23 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,"Rs. 7,999",//www.daraz.pk/products/n22n23-116-4-gb-16-gb-pubg-i409781275.html
185,Daraz Like New Laptops - Lenovo ThinkPad T470s - Intel Core i5-7th Generation - 8gb Ram 128gb Ssd - 14.0 Inch FHD Display - Windows 10 Pro - FREE LAPTOP BAG,"Rs. 44,174",//www.daraz.pk/products/daraz-like-new-laptops-lenovo-thinkpad-t470s-intel-core-i5-7th-generation-8gb-ram-128gb-ssd-140-inch-fhd-display-windows-10-pro-free-laptop-bag-i494891280.html
186,Apple MacBook Pro A1278 - 8GB RAM 256GB SSD  - 2.5GHz Dual-Core Intel Core i5 - Mid 2012 13.3-inch LED Display - Dual Operating System MacOS Catalina 10.15 - Silver - Daraz Like New Laptops,"Rs. 46,999",//www.daraz.pk/products/8gb-a1278-8gb-ssd-256-ghz-i5-25-led-2012-i425678017.html
187,Daraz Like New Laptops - HP ProBook 640 G1 - Core i3 4th Generation - 4GB RAM - 500GB HDD - 14inch Screen - Window 10 Pro Active - With Bag Gift,"Rs. 34,999",//www.daraz.pk/products/hp-640-g1-4th-i3-4gb-14-10-i460147142.html
188,HP ELITEBOOK 840-G5 8TH GENERATION | INTEL CORE-I5 | 8250u PROCESSOR | 8GB RAM | 256GB SSD | FHD | 14.1’INCH DISPLAY | SILVER | WIN11 PRO | REGITERED (FREE LAPTOP BAG) - Daraz like new laptops,"Rs. 63,359",//www.daraz.pk/products/hp-elitebook-840-g5-8th-generation-intel-core-i5-8250u-processor-8gb-ram-256gb-ssd-fhd-141inch-display-silver-win11-pro-regitered-free-laptop-bag-daraz-like-new-laptops-i376733666.html
189,MacBook pro 2012 Core i5 4GB Ram 500GB Storage 3hrs Battery Backup 13.3inch Display size,"Rs. 23,998",//www.daraz.pk/products/2012-4gb-i5-500gb-3hrs-133-i887996311.html
190,"Apple MacBook Air 2020 (A2337) 13.3"" Retina Display - M1 Chip - Touch ID - 8GB RAM - 256GB SSD Storage - Daraz Like New","Rs. 199,999",//www.daraz.pk/products/2020-a2337-m1-id-8gb-i651320263.html
191,HP EliteBook 2560P - Core i5 2nd Generation - 4GB RAM - 250GB HDD,"Rs. 25,999",//www.daraz.pk/products/hp-2560p-2nd-i5-4gb-hdd-250gb-i564153983.html
192,"Dell Latitude 3380 Intel Core i5 7th Generation, 8GB DDR4 Ram, 128GB SSD Drive, 13.3"" HD Led Display Intel HD Graphics - Daraz Like New Laptops","Rs. 33,249",//www.daraz.pk/products/3380-7th-i5-8gb-ddr4-256gb-ssd-133-hd-led-hd-i673809795.html
193,Daraz Like New Laptops - Lenovo Chromebook 300E 2in1 X360 Touch Screen Intel Celeron 4GB RAM 32GB Chrome OS Update Available,"Rs. 17,099",//www.daraz.pk/products/daraz-like-new-laptops-lenovo-chromebook-300e-2in1-x360-touch-screen-intel-celeron-4gb-ram-32gb-chrome-os-update-available-i439343751.html
194,"HP ProBook 650 G1 (15.6"") HD Intel® Core™ i3 4GB DDR3L-SDRAM 500 GB HDD Wi-Fi 4 (802.11n) Windows 10 Pro Black, Silver - With Bag Gift - Daraz Like New Laptops","Rs. 34,999",//www.daraz.pk/products/hp-650-g1-156-hd-i3-4gb-ddr3l-sdram-gb-hdd-wifi-4-80211n-10-i460141831.html
195,badgeDaraz Like New Laptops - HP Chromebook 11 G4 | 16GB Storage | 4GB RAM | 11.6″ Display | Playstore Supported | Dual Core | Chrome Book,"Rs. 7,999",//www.daraz.pk/products/hp-11-g4-16gb-4gb-116-i495523570.html
196,"HP ProBook X360 11 G2 2-in-1 11.6 Inch Touchscreen, Intel Core M3 7th Gen 4GB RAM, 128GB SSD, Windows 10 Pro - Daraz Like New Laptops","Rs. 31,999",//www.daraz.pk/products/hp-1-2-11-g2-x360-m3-7th-4gb-10-i428096336.html
197,Daraz Like New Laptops - Lenovo Chromebook 300E X360 TOUCH SCREEN - 2027 UPDATE - Intel Celeron 4GB RAM 32GB Chrome OS (FREE LAPTOP BAG),"Rs. 20,999",//www.daraz.pk/products/daraz-like-new-laptops-lenovo-chromebook-300e-x360-touch-screen-2027-update-intel-celeron-4gb-ram-32gb-chrome-os-free-laptop-bag-i609291269.html
198,"HP ProBook X360 11 G2 2-in-1 11.6 Inch Touchscreen, Intel Core M3 7th Gen 4GB RAM, 128GB SSD, Windows 10 Pro - Daraz Like New Laptops","Rs. 27,999",//www.daraz.pk/products/hp-1-2-11-g2-x360-m3-7th-4gb-10-i462111463.html
199,HP EliteBook 840 G3 - Core i5 6th Generation - 8 GB RAM - 128GB SSD 500GB HDD- 14inch Screen - FREE LAPTOP BAG (WINDOWS 11 REGISTERED) - daraz like new laptops,"Rs. 49,499",//www.daraz.pk/products/hp-elitebook-840-g3-core-i5-6th-generation-8-gb-ram-128gb-ssd-500gb-hdd-14inch-screen-free-laptop-bag-windows-11-registered-daraz-like-new-laptops-i250546247.html
200,"Dell Latitude E6440 14in Laptop, Core i5-4300M 2.6GHz, 4GB Ram, 500GB HDD, DVDRW, Windows 10 Pro - Daraz Like New Laptops","Rs. 33,999",//www.daraz.pk/products/e6440-14in-4gb-i5-4300m-ghz-dvdrw-26-gb-hdd-10-i461427774.html
201,"Dell Latitude 3180 HD Laptop Notebook Educational PC (Intel Pentium N4200 Quad Core, 4GB Ram, 128GB Solid State SSD, Camera, HDMI, WiFi, Bluetooth) Windows 10 - Daraz Like New Laptops","Rs. 29,999",//www.daraz.pk/products/3180-hd-n4200-4gb-128gb-ssd-hdmi-wifi-10-i422501825.html
202,Daraz Like New Laptops - HP Chromebook 11 G5 | 16GB Storage | 4GB RAM | 11.6″ Display | Playstore Supported | Dual Core | Chrome Book,"Rs. 12,999",//www.daraz.pk/products/daraz-like-new-laptops-hp-chromebook-11-g5-16gb-storage-4gb-ram-116-display-playstore-supported-dual-core-chrome-book-i458059836.html
203,Lenovo | N23/N22 | 6th Gen | 16GB SSD Storage | 4GB RAM | 11.6″ Display | Rotatable Camera | windows | Chromebook DARAZ LIKE NEW LAPTOPS,"Rs. 12,999",//www.daraz.pk/products/lenovo-n23n22-6th-gen-16gb-ssd-storage-4gb-ram-116-display-rotatable-camera-windows-chromebook-daraz-like-new-laptops-i421954798.html
204,"Lenovo ThinkPad T440 - Core i5 4th Generation - 8 GB Ram - 500 GB HDD - 14"" Screen Size","Rs. 31,499",//www.daraz.pk/products/t440-4th-i5-8-gb-14-hdd-500-gb-i459713829.html
205,"Daraz Like New Laptops - HP ProBook 11 G2 , Core i3 6th Generation, 8GB DDR4 Ram, 500GB Hard Drive, 11.1"" Led Display, Intel HD Graphics","Rs. 31,999",//www.daraz.pk/products/daraz-like-new-laptops-hp-probook-11-g2-core-i3-6th-generation-8gb-ddr4-ram-500gb-hard-drive-111-led-display-intel-hd-graphics-i608563612.html
206,"Daraz Like New Laptops - HP ProBook 11 G2 , Core i3 6th Generation, 8GB DDR4 Ram, 500GB Hard Drive, 11.1"" Led Display, Intel HD Graphics","Rs. 29,999",//www.daraz.pk/products/daraz-like-new-laptops-hp-probook-11-g2-core-i3-6th-generation-8gb-ddr4-ram-500gb-hard-drive-111-led-display-intel-hd-graphics-i429668665.html
207,DELL CHROMEBOOK LAPTOP 3180 - 4GB/16GB - PLAYSTORE SUPPORTED,"Rs. 8,650",//www.daraz.pk/products/dell-chromebook-laptop-3180-4gb16gb-playstore-supported-i585658374.html
208,"HP ProBook 11-G2 11.6"" HD Touch-Screen Business Laptop, i3 6th Gen Intel HD Graphics 510, Windows 10 Pro 4GB 128GB SSD - Daraz Like New Laptops","Rs. 31,999",//www.daraz.pk/products/hp-11-g2-116-hd-i3-6th-hd-510-10-4gb-128gb-ssd-i425757054.html
209,"Lenovo Thinkpad X240 Ultrabook ( 12.5-inch Display, i5-4600U 8GB RAM, 500GB, Windows 10 Pro 64 - With Bag Gift - Daraz Like New Laptops","Rs. 33,999",//www.daraz.pk/products/x240-125-8gb-i5-4600u-gb-10-64-i460153175.html
210,"HP Chromebook 11 G6 EE 11.6"" Chromebook Intel Celeron 1.10 GHz 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Play Store, Chrome OS","Rs. 17,999",//www.daraz.pk/products/hp-11-g6-ee-116-4gb-16gb-ssd-hdmi-wifi-os-i433843062.html
211,"HP ProBook 650 G1 (15.6"") HD Intel® Core™ i3 4GB DDR3L-SDRAM 500 GB HDD Wi-Fi 4 (802.11n) Windows 10 Pro Black, Silver - Daraz Like New Laptops","Rs. 34,999",//www.daraz.pk/products/hp-650-g1-156-hd-i3-4gb-ddr3l-sdram-gb-hdd-wifi-4-80211n-10-i425677024.html
